name,website,vertical ,sub vertical,Descripcion / solución ,país ¿dónde se encuentra su principal sede de operaciones? ,ciudad/región ,Estadío actual ,Teléfono ,Mail ,LINKEDIN,INSTAGRAM ,FACEBOOK,X (twitter),Logo ,Founder/s,Founded,Modelo de Negocio,"DESTACADO/ BADGES ¿QUÉ LA HACE ESPECIAL?""",Funding total 2026,ETAPA DE MADUREZ ¿En qué momento del crecimiento está?,ÁREA INFLUENCIA: ¿qué alcance tiene su solución hoy?,"ESTADIO SOLUCIÓN (¿En qué nivel de madurez tecnológica se encuentra tu proyecto?)""",IMPACTO /SOCIOAMBIENTAL,RESULTADO / OUTCOME ¿QUÉ PASÓ CON LA EMPRESA?
Boston Metal,https://bostonmetal.com/?ref=failory,Industria,Acero Verde,Electrólisis de óxido fundido (MOE) para producir acero con electricidad renovable sin carbón. Spin-off del MIT.,Estados Unidos,"Woburn, MA",Series C+,N/D,info@bostonmetal.com,linkedin.com/company/boston-metal,N/D,N/D,twitter.com/bostonmetal,,"Donald Sadoway, Antoine Allanore, Jim Yurko (MIT)",2012,B2B · Licencias de tecnología MOE + venta de ánodos,MIT Spin-off · TIME Best Inventions 2025 · Fast Company World Changing Ideas,,Crecimiento,Global,7,Acero = 7-10% emisiones globales. MOE puede eliminarlas con renovables.,Activa
ChargerHelp!,http://www.chargerhelp.com/?ref=failory,Transporte,Mantenimiento EV,Plataforma de gestión y mantenimiento de cargadores EV con técnicos locales capacitados.,Estados Unidos,"Los Ángeles, CA",Series A,N/D,info@chargerhelp.com,linkedin.com/company/chargerhelp,N/D,N/D,twitter.com/chargerhelp,,"Evette Ellis, Kameale Terry",2020,B2B · SaaS + servicios de mantenimiento,Diversidad + impacto social · Empleo local EV · DOE-backed,,Escala,Nacional,6,Cargadores fuera de servicio = barrera para adopción EV.,Activa
Solstice,http://solstice.us/?ref=failory,Energía,Solar Comunitario,"Conecta comunidades de bajos ingresos con proyectos de solar comunitario, permitiendo ahorros sin instalar paneles.",Estados Unidos,"Cambridge, MA",Series B,N/D,info@solstice.us,linkedin.com/company/solstice-initiative,instagram.com/solstice.us,N/D,twitter.com/solsticepower,,"Steph Speirs, Sandhya Murali",2015,B2C/B2B · Suscripción a créditos solares,Equity solar · Sirve comunidades bajos ingresos · Certified B-Corp,,Escala,Nacional,7,Lleva beneficios del solar a hogares que no pueden instalar paneles.,Activa
Mycocycle,https://mycocycle.com/?ref=failory,Industria,Biorreparación / Hongos,"Estados Unidos hongos (micelium) para descomponer residuos de construcción como asfalto, neumáticos y plásticos.",Estados Unidos,"Chicago, IL",Seed,N/D,info@mycocycle.com,linkedin.com/company/mycocycle,N/D,N/D,N/D,,Joanne Rodriguez,2019,B2B · Servicios de procesamiento de residuos,Biorreparación con hongos para residuos de construcción,,Temprana,Local,4,Residuos de construcción = 40% de basura en vertederos.,Activa
Phoenix Tailings,https://www.phoenixtailings.com/?ref=failory,Industria,Metales Críticos,Extracción de tierras raras y metales críticos de residuos mineros (tailings) via electroquímica sin emisiones.,Estados Unidos,"Woburn, MA",Series B,N/D,info@phoenixtailings.com,linkedin.com/company/phoenix-tailings,N/D,N/D,N/D,,"Anthony Balladon, Nick Myers",2019,B2B · Procesamiento residuos + venta de metales,Tierras raras de residuos mineros sin emisiones,,Escala,Nacional,6,China controla 90% producción REE. Phoenix crea supply chain doméstico en Estados Unidos.,Activa
Sublime Systems,https://sublime-systems.com/?ref=failory,Industria,Cemento Verde,Produce cemento con electricidad via electroquímica en lugar de calor fósil. Spin-off del MIT.,Estados Unidos,"Somerville, MA",Series B,N/D,info@sublime-systems.com,linkedin.com/company/sublime-systems,N/D,N/D,N/D,,"Leah Ellis, Yet-Ming Chiang (MIT)",2020,B2B · Venta de cemento / licencias,MIT Spin-off · Cemento eléctrico sin combustión · Breakthrough Energy-backed,,Escala,Nacional,6,Cemento = 8% emisiones globales. Sublime puede eliminarlas.,Activa
Augmenta Inc.,https://www.augmenta.ai/?ref=failory,AgriFood,Agricultura de Precisión,IA y visión computacional para aplicación variable de insumos agrícolas en tiempo real desde maquinaria.,Alemania,Munich,Series B,N/D,info@augmenta.ai,linkedin.com/company/augmenta-ai,N/D,N/D,N/D,,"Emilio Frazzoli, Andrea Cominetti",2018,B2B · Hardware + SaaS por hectárea,Visión computacional en tiempo real en tractores · Reduce insumos 30%,,Escala,Regional (Europa),7,Reduce fertilizantes y pesticidas 20-40%. Menor contaminación.,Activa
Pachama,https://www.pachama.com/?ref=failory,Carbono,Bosques / MRV,"IA y sensores remotos para medir, reportar y verificar proyectos forestales de carbono con mayor precisión.",Estados Unidos,"San Francisco, CA",Series B,N/D,N/D,linkedin.com/company/pachama,N/D,N/D,twitter.com/pachama,,"Diego Saez-Gil, Felipe Villela",2018,B2B · SaaS + marketplace de créditos forestales,"IA para bosques · YC · Amazon, Microsoft, Shopify-backed",,Escala,Global,7,Protege y restaura bosques tropicales. Reduce fraude en mercados de carbono.,Activa
TerraPower,http://www.terrapower.com/?ref=failory,Energía,Nuclear Avanzado,Reactores nucleares de ola viajante (TWR) y sal fundida. Fundada por Bill Gates. Planta Natrium en Wyoming.,Estados Unidos,"Bellevue, WA",Growth,N/D,info@terrapower.com,linkedin.com/company/terrapower,N/D,N/D,twitter.com/terrapower,,"Bill Gates, Nathan Myhrvold, John Gilleland",2008,B2G · Contratos con utilities + DOE grants,Bill Gates · $2.5B DOE grant · Reactor Natrium en Wyoming,,Madurez,Global,6,Nuclear de nueva generación sin residuos de larga vida. Generación 24/7 sin carbono.,Activa
Electric Hydrogen,https://www.eh2.com/?ref=failory,Energía,Hidrógeno Verde,Electrolizadores de alta eficiencia PEM para producción de hidrógeno verde a gran escala.,Estados Unidos,"San Carlos, CA",Series C+,N/D,N/D,linkedin.com/company/electric-hydrogen,N/D,N/D,N/D,,"David Eaglesham, Raffi Garabedian (ex-CEO First Solar)",2020,B2B · Venta de electrolizadores + proyectos,Electrolizadores más eficientes del mundo · $380M raised,,Crecimiento,Global,7,"H₂ verde para fertilizantes, acero, petroquímica. Elimina emisiones de proceso.",Activa
WattBuy,https://wattbuy.com/?ref=failory,Tech,CleanTech SaaS / Energía,"Motor de personalización energética que calcula la combinación óptima de solar, baterías y tarifas.",Estados Unidos,"New York, NY",Series A,N/D,hello@wattbuy.com,linkedin.com/company/wattbuy,N/D,N/D,N/D,,Manan Monga,2018,B2B2C · API de recomendación energética,API energética para utilities · Personalización en escala,,Escala,Nacional,6,Acelera adopción de solar y eficiencia energética.,Activa
OnPath Energy,https://www.onpathenergy.com/?ref=failory,Energía,Almacenamiento Largo Plazo,Almacenamiento de energía de larga duración (LDES) basado en tecnología electroquímica para grid-scale.,Estados Unidos,N/D,Seed,N/D,N/D,N/D,N/D,N/D,N/D,,N/D,2021,B2B · Proyectos de almacenamiento + PPA,LDES para grid · Tecnología propia,,Temprana,Local,3,LDES esencial para grid 100% renovable. Elimina necesidad de respaldo fósil.,Activa
Arcadia,https://www.arcadia.com/?ref=failory,Tech,Datos de Energía / SaaS,Plataforma de datos de energía (Arc) para que empresas accedan a datos de facturas y consumo.,Estados Unidos,"Washington, DC",Series D,N/D,N/D,linkedin.com/company/arcadia-power,N/D,N/D,twitter.com/arcadiapower,,Kiran Bhatraju,2014,B2B · API de datos energéticos + marketplace,La 'capa de datos' del sistema energético Estados Unidos · Plaid for Energy,,Madurez,Nacional,8,Facilita electrificación y gestión de demanda.,Activa
Atlas Renewable Energy,http://www.atlasrenewableenergy.com/?ref=failory,Energía,Solar Latam,Desarrollador y operador de proyectos solar y eólico en Latinoamérica. Líder con GWs en operación.,Estados Unidos,"Miami, FL",Growth,N/D,info@atlasrenewableenergy.com,linkedin.com/company/atlas-renewable-energy,N/D,N/D,N/D,,"Carlos Obeid, Cristobal Mendoza",2017,IPP · PPAs con utilities y corporativos,"Líder renovables Latam · 2GW+ en operación · Chile, Brasil, México",,Madurez,Regional (Latam),9,GWs de energía limpia en Latam reemplazando generación fósil.,Activa
Gradiant,https://gradiant.com/?ref=failory,Agua,Tratamiento Agua Industrial,"Tecnologías avanzadas de tratamiento de agua para semiconductores, petroquímica, minería, farmacéutica.",Estados Unidos,"Woburn, MA",Series D,N/D,info@gradiant.com,linkedin.com/company/gradiant,N/D,N/D,N/D,,"Anurag Bajpayee, Prakash Narayan (MIT PhD)",2013,B2B · Proyectos EPC + O&M,MIT Spin-off · Tratamiento agua chip industry · $225M+,,Madurez,Global,8,Permite industrias high-tech operar con mínima agua.,Activa
Turntide Technologies,http://www.turntide.com/?ref=failory,Energía,Eficiencia Industrial,"Motores de reluctancia eléctrica controlados por software para edificios e industria, 70% menos consumo.",Estados Unidos,"San Jose, CA",Series D,N/D,N/D,linkedin.com/company/turntide-technologies,N/D,N/D,N/D,,Ryan Morris,2013,B2B · Venta de motores + SaaS de gestión,Motores inteligentes 64% más eficientes · Amazon Climate Fund,,Madurez,Global,7,Motores = 45% consumo eléctrico mundial industrial.,Activa
Symbrosia,http://symbrosia.co/?ref=failory,AgriFood,Alimentación / Reducción Metano,Cultiva la alga Asparagopsis como suplemento para ganado que reduce emisiones de metano entérico hasta 80%.,Estados Unidos,"Kailua-Kona, Hawaii",Seed,N/D,hello@symbrosia.co,linkedin.com/company/symbrosia,instagram.com/symbrosiaco,N/D,N/D,,Alexia Akbay,2019,B2B · Venta de suplemento a ganaderos,Alga que reduce metano bovino 80% · Hawaii farming,,Temprana,Local,5,Ganadería = 14.5% emisiones GEI. Metano entérico = 5%. Alta aditividad.,Activa
Northvolt,http://www.northvolt.com/?ref=failory,Energía,Baterías de Litio / Manufactura,Fabricante europeo de baterías de litio para EVs. Gigafábrica en Suecia. Ex-unicornio.,Suecia,Estocolmo / Skellefteå,Cerrada,N/D,N/D,linkedin.com/company/northvolt,N/D,N/D,twitter.com/northvolt,,"Peter Carlsson, Paolo Cerruti (ex-Tesla)",2016,B2B · Contratos supply con OEMs automotrices,,,Cerrada,Global,,Hubiera creado supply chain de baterías soberano para Europa.,⚠️ CERRADA · Ex-unicornio europeo · $15B raised · Bancarrota 2024
Boldr,https://shopboldr.com/?ref=failory,Tech,Marketplace Sostenible,Marketplace de productos sostenibles con verificación de claims ambientales para compras corporativas.,Estados Unidos,N/D,Seed,N/D,N/D,N/D,N/D,N/D,N/D,,N/D,2021,B2C/B2B · Marketplace + comisiones,Compras sostenibles verificadas,,Temprana,Local,3,Redirige gasto corporativo hacia proveedores sostenibles.,Activa
Universal Hydrogen,https://www.hydrogen.aero/?ref=failory,Transporte,Aviación con Hidrógeno,Propulsión de hidrógeno para aviación regional con celdas de combustible y tanques criogénicos.,Estados Unidos,N/D,Seed,N/D,N/D,N/D,N/D,N/D,N/D,,N/D,2020,B2B · Desarrollo de tecnología + contratos OEMs,Hidrógeno en aviación,,Temprana,Local,3,Aviación = 2.5% emisiones globales. H₂ puede eliminar emisiones de vuelos cortos.,Activa
ZeroAvia,http://zeroavia.com/?ref=failory,Transporte,Aviación con Hidrógeno,Motores de hidrógeno para aviación. Retrofita aviones existentes con celda de combustible. Certificación FAA.,Reino Unido,"Hollister, CA / Reino Unido",Series C+,N/D,info@zeroavia.com,linkedin.com/company/zeroavia,instagram.com/zeroavia,N/D,twitter.com/zeroavia,,Val Miftakhov,2017,B2B · Venta de powertrain + MRO,Primer vuelo comercial H₂ 2023 · $130M raised · Bill Gates-backed,,Crecimiento,Global,7,Descarbonización vuelos cortos sin cambiar infraestructura aeroportuaria.,Activa
Palmetto,http://www.palmetto.com/?ref=failory,Energía,Solar Residencial / Plataforma,"Plataforma B2B2C para instaladores de solar residencial con herramientas de diseño, finanzas y CRM.",Estados Unidos,"Charlotte, NC",Series C+,N/D,N/D,linkedin.com/company/palmetto,instagram.com/palmettoclean,N/D,twitter.com/palmettoclean,,Chris Kemper,2010,B2B + B2C · SaaS para instaladores + venta directa solar,Plataforma #1 para instaladores solar Estados Unidos · $170M raised,,Madurez,Nacional,8,Democratiza acceso a energía solar residencial.,Activa
Lunar Energy,https://www.lunarenergy.com/?ref=failory,Energía,Almacenamiento Residencial,Sistema de almacenamiento residencial (batería + inversor todo-en-uno) con gestión para hogares y utilities.,Estados Unidos,"San Jose, CA",Series B,N/D,N/D,linkedin.com/company/lunar-energy,instagram.com/lunar_energy,N/D,twitter.com/lunar_energy,,"Jeff Scheinrock, Kunal Girotra (ex-Nest, Google Energy)",2020,B2C + B2B2C · Hardware + SaaS grid services,Ex-Nest founders · Batería residencial + grid services · Samsung SDI-backed,,Escala,Nacional,7,Almacenamiento residencial + VPP = resiliencia energética hogareña.,Activa
dcbel,http://www.dcbel.energy/?ref=failory,Energía,Carga EV + Solar Home,"Dispositivo todo-en-uno: cargador EV bidireccional (V2H/V2G), inversor solar y gestor energético del hogar.",Canadá,"Montreal, QC",Series B,N/D,info@dcbel.energy,linkedin.com/company/dcbel,instagram.com/dcbel_energy,N/D,N/D,,"Nicolas Saunier, Martin Ouellet",2016,B2C + B2B2C · Hardware + servicios grid,V2H + Solar + EV en 1 dispositivo · Único en mercado,,Escala,Nacional,7,Maximiza autosuficiencia energética. V2G puede estabilizar el grid.,Activa
BlocPower,http://www.blocpower.io/?ref=failory,Energía,Electrificación Edificios / Equity,Financia y gestiona la electrificación de edificios en comunidades de bajos ingresos con data science.,Estados Unidos,"New York, NY",Series B,N/D,info@blocpower.io,linkedin.com/company/blocpower,instagram.com/blocpower,N/D,twitter.com/blocpower,,Donnel Baird,2014,B2B2C · Financiamiento de proyectos + servicios energéticos,Electrificación en comunidades de color · Ithaca Net-Zero · Goldman Sachs-backed,,Escala,Nacional,7,Justicia climática + reducción de emisiones. Reduce costos en hogares bajos ingresos.,Activa
Blykalla,https://www.blykalla.com/?ref=failory,Energía,Nuclear / SMR,Reactor nuclear compacto refrigerado por plomo líquido para aplicaciones industriales. Diseño para calor y electricidad.,Suecia,Estocolmo,Series A,N/D,N/D,linkedin.com/company/blykalla,N/D,N/D,N/D,,Janne Wallenius (KTH),2013,B2G/B2B · Licencias de reactor + contratos,SMR sueco refrigerado por plomo · KTH spin-off,,Escala,Regional (Europa),5,SMRs pueden descarbonizar calor industrial de alta temperatura.,Activa
EVE,https://eve-mobility.io/?ref=failory,Transporte,Flotas EV Compartidas,Vehículos eléctricos como servicio para empresas: flotas 100% eléctricas como suscripción sin CAPEX.,Alemania,Berlín,Series A,N/D,info@eve-mobility.io,linkedin.com/company/eve-mobility,N/D,N/D,N/D,,N/D,2021,B2B · EV-as-a-Service para flotas corporativas,Flotas EV sin CAPEX · EaaS Europa,,Escala,Regional (Europa),6,Acelera electrificación de flotas corporativas.,Activa
Green Li-ion,https://www.greenli-ion.com/?ref=failory,Energía,Reciclaje de Baterías,Reciclaje de baterías de litio que recupera materiales de cátodo con alta pureza via hidrometalurgia.,Canadá,"Toronto, ON",Seed,N/D,info@greenli-ion.com,linkedin.com/company/green-li-ion,N/D,N/D,N/D,,"Richard Liang, Leon Farhi",2021,B2B · Servicios reciclaje + venta de material,Reciclaje baterías → materiales de cátodo de alta pureza,,Temprana,Nacional,5,Cierra ciclo de vida de baterías. Reduce necesidad de minería de litio.,Activa
SWTCH,https://swtchenergy.com/?ref=failory,Transporte,Carga EV Edificios,Infraestructura de carga EV para edificios multifamiliares y estacionamientos comerciales con software de gestión.,Canadá,"Toronto, ON",Series B,N/D,hello@swtchenergy.com,linkedin.com/company/swtch-energy,instagram.com/swtchenergy,N/D,twitter.com/swtchenergy,,"Carter Li, Terry Fatahi",2016,B2B · Hardware + SaaS para property managers,"#1 carga EV en edificios Canada · 10,000+ puertos instalados",,Escala,Nacional,7,Resuelve carga en hogar para 40% que viven en apartamentos.,Activa
Elcogen,http://www.elcogen.com/en/?ref=failory,Energía,Celdas de Combustible SOFC,Fabrica celdas de combustible SOFC de alta eficiencia para generación distribuida con hidrógeno o gas.,Finlandia,Tallinn / Helsinki,Growth,N/D,info@elcogen.com,linkedin.com/company/elcogen,N/D,N/D,N/D,,N/D,2001,B2B · Venta de celdas y stacks a OEMs,SOFC de mayor eficiencia del mercado (>60%) · 20+ años de experiencia,,Madurez,Global,8,CHP con alta eficiencia. Puede Estados Unidosr H₂ verde para cero emisiones.,Activa
Kita,https://www.kita.earth/?ref=failory,Carbono,Seguros de Carbono,Primer proveedor de seguros para créditos de carbono. Protege a compradores contra proyectos fallidos.,Reino Unido,Londres,Seed,N/D,hello@kita.earth,linkedin.com/company/kita-earth,instagram.com/kita.earth,N/D,twitter.com/kita_earth,,"Natalia Dorfman, Sandra Espinet",2021,B2B · Primas de seguro + comisiones,Primeros en seguros para carbono · Desbloquea mercados voluntarios,,Temprana,Global,5,Reduce riesgo percibido de inversión en CDR. Cataliza capital climático.,Activa
X1 Wind,https://www.x1wind.com/?ref=failory,Energía,Eólica Offshore Flotante,Plataforma eólica offshore flotante con diseño de orientación pasiva (downwind) para aguas profundas.,España,Barcelona,Series A,N/D,info@x1wind.com,linkedin.com/company/x1wind,N/D,N/D,N/D,,"Alex Raventós, Carlos Escudero, Jan-Erik Nielsen",2018,B2B · Proyectos + licencias de tecnología,Eólica flotante offshore · Diseño downwind único · EIC Accelerator EU,,Escala,Regional (Europa),5,"Abre acceso a eólico en aguas >60m, el 80% del potencial offshore mundial.",Activa
